Date,Day of Week,Weekday / Saturday / Sunday,Holiday,Mode,Entries Or Boardings
6/3/2024 12:00:00 AM,Mon,Weekday,No,Rail,383766
6/3/2024 12:00:00 AM,Mon,Weekday,No,Bus,420891
6/2/2024 12:00:00 AM,Sun,Sunday,No,Rail,193266
6/2/2024 12:00:00 AM,Sun,Sunday,No,Bus,218655
6/1/2024 12:00:00 AM,Sat,Saturday,No,Rail,255733
6/1/2024 12:00:00 AM,Sat,Saturday,No,Bus,325986
5/31/2024 12:00:00 AM,Fri,Weekday,No,Rail,373692
5/31/2024 12:00:00 AM,Fri,Weekday,No,Bus,404671
5/30/2024 12:00:00 AM,Thu,Weekday,No,Rail,437918
5/30/2024 12:00:00 AM,Thu,Weekday,No,Bus,420696
5/29/2024 12:00:00 AM,Wed,Weekday,No,Rail,433264
5/29/2024 12:00:00 AM,Wed,Weekday,No,Bus,398797
5/28/2024 12:00:00 AM,Tue,Weekday,No,Rail,417994
5/28/2024 12:00:00 AM,Tue,Weekday,No,Bus,415720
5/27/2024 12:00:00 AM,Mon,Weekday,Yes,Rail,185054
5/27/2024 12:00:00 AM,Mon,Weekday,Yes,Bus,194357
5/26/2024 12:00:00 AM,Sun,Sunday,No,Rail,243424
5/26/2024 12:00:00 AM,Sun,Sunday,No,Bus,208591
5/25/2024 12:00:00 AM,Sat,Saturday,No,Rail,283758
5/25/2024 12:00:00 AM,Sat,Saturday,No,Bus,254160
5/24/2024 12:00:00 AM,Fri,Weekday,No,Rail,368762
5/24/2024 12:00:00 AM,Fri,Weekday,No,Bus,401233
5/23/2024 12:00:00 AM,Thu,Weekday,No,Rail,413817
5/23/2024 12:00:00 AM,Thu,Weekday,No,Bus,406355
5/22/2024 12:00:00 AM,Wed,Weekday,No,Rail,459999
5/22/2024 12:00:00 AM,Wed,Weekday,No,Bus,424111
5/21/2024 12:00:00 AM,Tue,Weekday,No,Rail,467680
5/21/2024 12:00:00 AM,Tue,Weekday,No,Bus,426927
5/20/2024 12:00:00 AM,Mon,Weekday,No,Rail,388833
5/20/2024 12:00:00 AM,Mon,Weekday,No,Bus,407346
5/19/2024 12:00:00 AM,Sun,Sunday,No,Rail,219848
5/19/2024 12:00:00 AM,Sun,Sunday,No,Bus,206419
5/18/2024 12:00:00 AM,Sat,Saturday,No,Rail,241903
5/18/2024 12:00:00 AM,Sat,Saturday,No,Bus,227490
5/17/2024 12:00:00 AM,Fri,Weekday,No,Rail,378327
5/17/2024 12:00:00 AM,Fri,Weekday,No,Bus,401464
5/16/2024 12:00:00 AM,Thu,Weekday,No,Rail,452672
5/16/2024 12:00:00 AM,Thu,Weekday,No,Bus,425607
5/15/2024 12:00:00 AM,Wed,Weekday,No,Rail,450993
5/15/2024 12:00:00 AM,Wed,Weekday,No,Bus,405559
5/14/2024 12:00:00 AM,Tue,Weekday,No,Rail,439483
5/14/2024 12:00:00 AM,Tue,Weekday,No,Bus,383776
5/13/2024 12:00:00 AM,Mon,Weekday,No,Rail,375812
5/13/2024 12:00:00 AM,Mon,Weekday,No,Bus,401601
5/12/2024 12:00:00 AM,Sun,Sunday,No,Rail,185009
5/12/2024 12:00:00 AM,Sun,Sunday,No,Bus,194954
5/11/2024 12:00:00 AM,Sat,Saturday,No,Rail,262714
5/11/2024 12:00:00 AM,Sat,Saturday,No,Bus,255608
5/10/2024 12:00:00 AM,Fri,Weekday,No,Rail,352510
5/10/2024 12:00:00 AM,Fri,Weekday,No,Bus,375062
5/9/2024 12:00:00 AM,Thu,Weekday,No,Rail,425840
5/9/2024 12:00:00 AM,Thu,Weekday,No,Bus,413799
5/8/2024 12:00:00 AM,Wed,Weekday,No,Rail,473597
5/8/2024 12:00:00 AM,Wed,Weekday,No,Bus,432852
5/7/2024 12:00:00 AM,Tue,Weekday,No,Rail,463407
5/7/2024 12:00:00 AM,Tue,Weekday,No,Bus,420340
5/6/2024 12:00:00 AM,Mon,Weekday,No,Rail,357526
5/6/2024 12:00:00 AM,Mon,Weekday,No,Bus,402527
5/5/2024 12:00:00 AM,Sun,Sunday,No,Rail,188183
5/5/2024 12:00:00 AM,Sun,Sunday,No,Bus,185985
5/4/2024 12:00:00 AM,Sat,Saturday,No,Rail,251851
5/4/2024 12:00:00 AM,Sat,Saturday,No,Bus,231585
5/3/2024 12:00:00 AM,Fri,Weekday,No,Rail,387301
5/3/2024 12:00:00 AM,Fri,Weekday,No,Bus,420020
5/2/2024 12:00:00 AM,Thu,Weekday,No,Rail,433521
5/2/2024 12:00:00 AM,Thu,Weekday,No,Bus,427674
5/1/2024 12:00:00 AM,Wed,Weekday,No,Rail,449466
5/1/2024 12:00:00 AM,Wed,Weekday,No,Bus,433289
4/30/2024 12:00:00 AM,Tue,Weekday,No,Rail,439146
4/30/2024 12:00:00 AM,Tue,Weekday,No,Bus,425626
4/29/2024 12:00:00 AM,Mon,Weekday,No,Rail,361931
4/29/2024 12:00:00 AM,Mon,Weekday,No,Bus,408121
