,Code,Name,StationTogether1,StationTogether2,LineCode1,LineCode2,LineCode3,LineCode4,Lat,Lon,Address
44,D03,L'Enfant Plaza,F03,,BL,OR,SV,,38.884775,-77.021964,"{'Street': '600 Maryland Avenue SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20024'}"
45,D04,Federal Center SW,,,BL,OR,SV,,38.884958,-77.01586,"{'Street': '401 3rd Street SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20024'}"
46,D05,Capitol South,,,BL,OR,SV,,38.884968,-77.005137,"{'Street': '355 First Street SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
47,D06,Eastern Market,,,BL,OR,SV,,38.884124,-76.995334,"{'Street': '701 Pennsylvania Avenue SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
48,D07,Potomac Ave,,,BL,OR,SV,,38.880841,-76.985721,"{'Street': '700 14th Street SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
49,D08,Stadium-Armory,,,BL,OR,SV,,38.88594,-76.977485,"{'Street': '192 19th St. SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
50,D09,Minnesota Ave,,,OR,,,,38.898284,-76.948042,"{'Street': '4000 Minnesota Ave NE', 'City': 'Washington', 'State': 'DC', 'Zip': '20019'}"
51,D10,Deanwood,,,OR,,,,38.907734,-76.936177,"{'Street': '4720 Minnesota Ave NE', 'City': 'Washington', 'State': 'DC', 'Zip': '20019'}"
52,D11,Cheverly,,,OR,,,,38.91652,-76.915427,"{'Street': '5501 Columbia Park Rd', 'City': 'Cheverly', 'State': 'MD', 'Zip': '20785'}"
53,D12,Landover,,,OR,,,,38.934411,-76.890988,"{'Street': '3000 Pennsy Dr', 'City': 'Landover', 'State': 'MD', 'Zip': '20785'}"
54,D13,New Carrollton,,,OR,,,,38.947674,-76.872144,"{'Street': '4700 Garden City Dr', 'City': 'New Carrollton', 'State': 'MD', 'Zip': '20784'}"
55,E01,Mt Vernon Sq 7th St-Convention Center,,,GR,YL,,,38.905604,-77.022256,"{'Street': '700 M St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20001'}"
56,E02,Shaw-Howard U,,,GR,YL,,,38.912919,-77.022194,"{'Street': '1701 8th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20001'}"
57,E03,U Street/African-Amer Civil War Memorial/Cardozo,,,GR,YL,,,38.916489,-77.028938,"{'Street': '1240 U Street NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20009'}"
58,E04,Columbia Heights,,,GR,YL,,,38.928672,-77.032775,"{'Street': '3030 14th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20009'}"
59,E05,Georgia Ave-Petworth,,,GR,YL,,,38.936077,-77.024728,"{'Street': '3700 Georgia Avenue NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20010'}"
60,E06,Fort Totten,B06,,GR,YL,,,38.951777,-77.002174,"{'Street': '550 Galloway St NE', 'City': 'Washington', 'State': 'DC', 'Zip': '20011'}"
61,E07,West Hyattsville,,,GR,,,,38.954931,-76.969881,"{'Street': '2700 Hamilton St', 'City': 'Hyattsville', 'State': 'MD', 'Zip': '20782'}"
62,E08,Hyattsville Crossing,,,GR,,,,38.965276,-76.956182,"{'Street': '3575 East-West Hwy', 'City': 'Hyattsville', 'State': 'MD', 'Zip': '20782'}"
63,E09,College Park-U of Md,,,GR,,,,38.978523,-76.928432,"{'Street': '4931 Calvert Rd', 'City': 'College Park', 'State': 'MD', 'Zip': '20740'}"
64,E10,Greenbelt,,,GR,,,,39.011036,-76.911362,"{'Street': '5500 Greenbelt Metro Dr', 'City': 'Beltsville', 'State': 'MD', 'Zip': '20705'}"
65,F01,Gallery Pl-Chinatown,B01,,GR,YL,,,38.89834,-77.021851,"{'Street': '630 H St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20001'}"
66,F02,Archives-Navy Memorial-Penn Quarter,,,GR,YL,,,38.893893,-77.021902,"{'Street': '701 Pennsylvania Avenue NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20004'}"
67,F03,L'Enfant Plaza,D03,,GR,YL,,,38.884775,-77.021964,"{'Street': '600 Maryland Avenue SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20024'}"
68,F04,Waterfront,,,GR,,,,38.876221,-77.017491,"{'Street': '399 M Street SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20024'}"
69,F05,Navy Yard-Ballpark,,,GR,,,,38.876588,-77.005086,"{'Street': '200 M Street SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20003'}"
70,F06,Anacostia,,,GR,,,,38.862072,-76.995648,"{'Street': '1101 Howard Rd SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20020'}"
71,F07,Congress Heights,,,GR,,,,38.845334,-76.98817,"{'Street': '1290 Alabama Ave SE', 'City': 'Washington', 'State': 'DC', 'Zip': '20020'}"
72,F08,Southern Avenue,,,GR,,,,38.840974,-76.97536,"{'Street': '1411 Southern Ave SE', 'City': 'Hillcrest Heights', 'State': 'MD', 'Zip': '20748'}"
