route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,scheduled_trip_id,train_id
RED,79_R,5950707_19913,"GLENMONT",0,,RRED_1,5950707,120
RED,79_R,5950726_19913,"GLENMONT",0,,RRED_1,5950726,121
RED,79_R,5950713_19913,"GLENMONT",0,,RRED_1,5950713,122
RED,79_R,5950722_19913,"GLENMONT",0,,RRED_1,5950722,123
RED,79_R,5950723_19913,"GLENMONT",0,,RRED_1,5950723,124
RED,79_R,5950705_19913,"GLENMONT",0,,RRED_1,5950705,125
RED,79_R,5950708_19913,"GLENMONT",0,,RRED_1,5950708,126
RED,79_R,5950717_19913,"GLENMONT",0,,RRED_1,5950717,127
RED,79_R,5950721_19913,"GLENMONT",0,,RRED_1,5950721,101
RED,79_R,5950714_19913,"GLENMONT",0,,RRED_1,5950714,102
RED,79_R,5950710_19913,"GLENMONT",0,,RRED_1,5950710,103
RED,79_R,5950727_19913,"GLENMONT",0,,RRED_1,5950727,104
RED,79_R,5950749_19913,"GLENMONT",0,,RRED_1,5950749,105
RED,79_R,5950755_19913,"GLENMONT",0,,RRED_1,5950755,106
RED,79_R,5950767_19913,"GLENMONT",0,,RRED_1,5950767,107
RED,79_R,5950768_19913,"GLENMONT",0,,RRED_1,5950768,108
RED,79_R,5950759_19913,"GLENMONT",0,,RRED_1,5950759,109
RED,79_R,5950748_19913,"GLENMONT",0,,RRED_1,5950748,110
RED,79_R,5950745_19913,"GLENMONT",0,,RRED_1,5950745,111
RED,79_R,5950730_19913,"GLENMONT",0,,RRED_1,5950730,113
RED,79_R,5950756_19913,"GLENMONT",0,,RRED_1,5950756,114
RED,79_R,5950764_19913,"GLENMONT",0,,RRED_1,5950764,115
RED,79_R,5950747_19913,"GLENMONT",0,,RRED_1,5950747,116
RED,79_R,5950738_19913,"GLENMONT",0,,RRED_1,5950738,117
RED,79_R,5950757_19913,"GLENMONT",0,,RRED_1,5950757,118
RED,79_R,5950741_19913,"GLENMONT",0,,RRED_1,5950741,119
RED,79_R,5950736_19913,"GLENMONT",0,,RRED_1,5950736,120
RED,79_R,5950744_19913,"GLENMONT",0,,RRED_1,5950744,121
RED,79_R,5950746_19913,"GLENMONT",0,,RRED_1,5950746,122
RED,79_R,5950798_19913,"GLENMONT",0,,RRED_1,5950798,123
RED,79_R,5950777_19913,"GLENMONT",0,,RRED_1,5950777,124
RED,79_R,5950772_19913,"GLENMONT",0,,RRED_1,5950772,125
RED,79_R,5950807_19913,"GLENMONT",0,,RRED_1,5950807,126
RED,79_R,5950819_19913,"GLENMONT",0,,RRED_1,5950819,127
RED,79_R,5950825_19913,"GLENMONT",0,,RRED_1,5950825,101
RED,79_R,5950791_19913,"GLENMONT",0,,RRED_1,5950791,102
RED,79_R,5950817_19913,"GLENMONT",0,,RRED_1,5950817,103
RED,79_R,5950806_19913,"GLENMONT",0,,RRED_1,5950806,104
RED,79_R,5950781_19913,"GLENMONT",0,,RRED_1,5950781,105
RED,79_R,5950786_19913,"GLENMONT",0,,RRED_1,5950786,106
RED,79_R,5950820_19913,"GLENMONT",0,,RRED_1,5950820,107
RED,79_R,5950826_19913,"GLENMONT",0,,RRED_1,5950826,108
RED,79_R,5950808_19913,"GLENMONT",0,,RRED_1,5950808,109
RED,79_R,5950770_19913,"GLENMONT",0,,RRED_1,5950770,110
RED,79_R,5950816_19913,"GLENMONT",0,,RRED_1,5950816,111
RED,79_R,5950771_19913,"GLENMONT",0,,RRED_1,5950771,113
RED,79_R,5950824_19913,"GLENMONT",0,,RRED_1,5950824,114
RED,79_R,5950787_19913,"GLENMONT",0,,RRED_1,5950787,115
RED,79_R,5950783_19913,"GLENMONT",0,,RRED_1,5950783,116
RED,79_R,5950799_19913,"GLENMONT",0,,RRED_1,5950799,117
RED,79_R,5950805_19913,"GLENMONT",0,,RRED_1,5950805,118
RED,79_R,5950795_19913,"GLENMONT",0,,RRED_1,5950795,119
RED,79_R,5950774_19913,"GLENMONT",0,,RRED_1,5950774,120
RED,79_R,5950837_19913,"GLENMONT",0,,RRED_1,5950837,121
RED,79_R,5950525_19913,"GLENMONT",0,,RRED_1,5950525,122
RED,79_R,5950536_19913,"GLENMONT",0,,RRED_1,5950536,123
RED,79_R,5950782_19913,"GLENMONT",0,,RRED_1,5950782,124
RED,79_R,5950835_19913,"GLENMONT",0,,RRED_1,5950835,125
RED,79_R,5950561_19913,"GLENMONT",0,,RRED_1,5950561,126
RED,79_R,5950597_19913,"GLENMONT",0,,RRED_1,5950597,127
RED,79_R,5950836_19913,"GLENMONT",0,,RRED_1,5950836,101
RED,79_R,5950832_19913,"GLENMONT",0,,RRED_1,5950832,102
RED,79_R,5950523_19913,"GLENMONT",0,,RRED_1,5950523,103
RED,79_R,5950601_19913,"GLENMONT",0,,RRED_1,5950601,104
RED,79_R,5950831_19913,"GLENMONT",0,,RRED_1,5950831,105
RED,79_R,5950518_19913,"GLENMONT",0,,RRED_1,5950518,106
RED,79_R,5950539_19913,"GLENMONT",0,,RRED_1,5950539,107
RED,79_R,5950729_19913,"GLENMONT",0,,RRED_1,5950729,108
RED,79_R,5950742_19913,"GLENMONT",0,,RRED_1,5950742,109
RED,79_R,5950535_19913,"GLENMONT",0,,RRED_1,5950535,110
RED,79_R,5950540_19913,"GLENMONT",0,,RRED_1,5950540,111
RED,79_R,5950533_19913,"GLENMONT",0,,RRED_1,5950533,113
RED,79_R,5950763_19913,"GLENMONT",0,,RRED_1,5950763,114
RED,79_R,5950550_19913,"GLENMONT",0,,RRED_1,5950550,116
RED,79_R,5950546_19913,"GLENMONT",0,,RRED_1,5950546,117
RED,79_R,5950803_19913,"GLENMONT",0,,RRED_1,5950803,119
RED,79_R,5950869_19913,"GLENMONT",0,,RRED_1,5950869,121
RED,79_R,5950870_19913,"GLENMONT",0,,RRED_1,5950870,122
RED,79_R,5950871_19913,"GLENMONT",0,,RRED_1,5950871,124
RED,79_R,5950872_19913,"GLENMONT",0,,RRED_1,5950872,125
RED,79_R,5950873_19913,"GLENMONT",0,,RRED_1,5950873,127
RED,79_R,5950874_19913,"GLENMONT",0,,RRED_1,5950874,101
RED,79_R,5950544_19913,"GLENMONT",0,,RRED_1,5950544,103
RED,79_R,5950778_19913,"GLENMONT",0,,RRED_1,5950778,104
RED,79_R,5950570_19913,"GLENMONT",0,,RRED_1,5950570,106
RED,79_R,5950508_19913,"GLENMONT",0,,RRED_1,5950508,108
RED,79_R,5950497_19913,"GLENMONT",0,,RRED_1,5950497,109
RED,79_R,5950501_19913,"GLENMONT",0,,RRED_1,5950501,111
RED,79_R,5950503_19913,"GLENMONT",0,,RRED_1,5950503,113
RED,79_R,5950517_19913,"GLENMONT",0,,RRED_1,5950517,114
RED,67_R,5973907_19909,"TAKOMA",0,,RRED_2,5973907,115
RED,67_R,5973930_19909,"TAKOMA",0,,RRED_2,5973930,116
RED,67_R,5973921_19909,"TAKOMA",0,,RRED_2,5973921,117
RED,67_R,5973927_19909,"TAKOMA",0,,RRED_2,5973927,118
RED,67_R,5973924_19909,"TAKOMA",0,,RRED_2,5973924,119
RED,67_R,5973925_19909,"TAKOMA",0,,RRED_2,5973925,120
RED,67_R,5973926_19909,"TAKOMA",0,,RRED_2,5973926,121
RED,67_R,5973928_19909,"TAKOMA",0,,RRED_2,5973928,122
RED,67_R,5973922_19909,"TAKOMA",0,,RRED_2,5973922,123
RED,67_R,5973940_19909,"TAKOMA",0,,RRED_2,5973940,101
RED,67_R,5973946_19909,"TAKOMA",0,,RRED_2,5973946,102
RED,67_R,5973948_19909,"TAKOMA",0,,RRED_2,5973948,103
RED,67_R,5973936_19909,"TAKOMA",0,,RRED_2,5973936,104
RED,67_R,5973943_19909,"TAKOMA",0,,RRED_2,5973943,105
RED,67_R,5973939_19909,"TAKOMA",0,,RRED_2,5973939,106
RED,67_R,5973935_19909,"TAKOMA",0,,RRED_2,5973935,107
RED,67_R,5973947_19909,"TAKOMA",0,,RRED_2,5973947,108
RED,67_R,5973951_19909,"TAKOMA",0,,RRED_2,5973951,109
RED,67_R,5973953_19909,"TAKOMA",0,,RRED_2,5973953,110
RED,67_R,5973997_19909,"TAKOMA",0,,RRED_2,5973997,111
RED,67_R,5974024_19909,"TAKOMA",0,,RRED_2,5974024,113
RED,67_R,5973962_19909,"TAKOMA",0,,RRED_2,5973962,114
RED,67_R,5973975_19909,"TAKOMA",0,,RRED_2,5973975,115
RED,67_R,5973996_19909,"TAKOMA",0,,RRED_2,5973996,116
RED,67_R,5973964_19909,"TAKOMA",0,,RRED_2,5973964,117
RED,67_R,5974008_19909,"TAKOMA",0,,RRED_2,5974008,118
RED,67_R,5973999_19909,"TAKOMA",0,,RRED_2,5973999,119
RED,67_R,5973984_19909,"TAKOMA",0,,RRED_2,5973984,120
RED,67_R,5973960_19909,"TAKOMA",0,,RRED_2,5973960,121
RED,67_R,5974019_19909,"TAKOMA",0,,RRED_2,5974019,122
